Year,Revenue_Broad_Gauge,Revenue_Metre_Gauge,Revenue_Total,Total_Broad_Gauge,Total_Metre_Gauge,Total_All_Gauges
1960,60211,11879,72333,73724,13666,87680
1961,61831,13278,75353,76023,14899,91218
1962,68775,14119,83140,84328,16064,100693
1963,73075,15294,88624,89130,17400,106841
1964,72886,15599,88752,88569,17683,106570
1965,81663,17024,98978,97251,19345,116936
1966,82132,16864,99284,97599,18671,116607
1967,84108,16727,101122,99977,18559,118860
1968,89693,18140,108129,104930,19879,125140
1969,92632,18899,111826,107286,20627,128248
1970,91550,18874,110696,106339,20709,127358
1971,97002,19626,116895,111548,21415,133265
1972,100872,20020,121164,114596,21629,136531
1973,91803,17381,109391,103431,18688,122354
1974,102370,18790,121374,114156,19906,134304
1975,115199,19456,134874,127162,20809,148219
1976,122960,20847,144030,134248,22258,156756
1977,129529,20488,150250,140566,24863,162687
1978,123780,19869,143870,133490,21090,154824
1979,125009,19348,144559,135094,20675,155995
1980,128510,18966,147652,138104,20176,158474
1981,145284,18812,164253,153969,20059,174202
1982,147876,19738,167781,156408,21177,177767
1983,149507,19184,168849,157630,20644,178446
1984,154509,17991,172632,162714,19301,182161
1985,175758,20698,196600,183791,21957,205904
1986,193185,20768,214096,200890,22053,223097
1987,201952,20444,222528,209449,21647,231241
1988,202083,20154,222374,208749,21235,230131
1989,208133,21318,229602,214423,22334,236917
1990,213940,21711,235785,219917,22640,242699
1991,227060,23041,250238,232866,23886,256895
1992,230640,21612,252388,235619,22372,258131
1993,234533,17767,252411,238493,18521,257130
1994,237095,12361,249564,239948,12905,252967
1995,259813,10575,270489,262165,11247,273516
1996,268703,8764,277567,270853,9037,279992
1997,278729,5415,284249,280984,5678,286771
1998,277030,4366,281513,279531,4618,284270
1999,301603,3518,305201,304193,3760,308039
2000,308888,3404,312371,311797,3634,315516
2001,329816,3404,333228,332804,3560,336445
2002,350526,2589,353194,353170,2774,356027
2003,378348,2804,381241,380992,2992,384074
2004,405403,1992,407398,409166,2111,411280
2005,437580,2011,439596,439691,2066,441762
2006,479556,1437,480993,481941,1481,483422
2007,520328,1043,521371,522146,1050,523196
2008,550756,692,551448,551303,699,552002
2009,599905,643,600548,600640,650,601290
2010,625085,638,625723,625829,644,626473
2011,667094,513,667607,668100,518,668618
2012,649198,447,649645,650176,449,650625
2013,665231,579,665810,666134,594,666728